"transaction_id","product_category","quantity","price_per_unit","total_amount"
2,"Clothing",2,500,1000
4,"Clothing",1,500,500
9,"Electronics",2,300,600
13,"Electronics",3,500,1500
15,"Electronics",4,500,2000
16,"Clothing",3,500,1500
20,"Clothing",3,300,900
21,"Beauty",1,500,500
24,"Clothing",1,300,300
26,"Electronics",2,500,1000
28,"Beauty",1,500,500
30,"Beauty",3,300,900
31,"Electronics",4,300,1200
35,"Beauty",3,300,900
36,"Beauty",3,300,900
42,"Clothing",3,300,900
43,"Clothing",1,300,300
46,"Electronics",4,300,1200
47,"Beauty",3,500,1500
48,"Electronics",3,300,900
49,"Electronics",2,500,1000
52,"Beauty",1,300,300
54,"Electronics",3,500,1500
56,"Clothing",3,300,900
58,"Clothing",4,300,1200
65,"Electronics",4,500,2000
67,"Beauty",4,300,1200
68,"Electronics",1,300,300
70,"Clothing",1,300,300
72,"Electronics",4,500,2000
74,"Beauty",4,500,2000
78,"Clothing",3,500,1500
79,"Beauty",1,300,300
88,"Clothing",1,500,500
89,"Electronics",4,500,2000
91,"Electronics",1,500,500
93,"Beauty",4,500,2000
94,"Beauty",2,500,1000
96,"Clothing",2,300,600
97,"Beauty",2,500,1000
99,"Electronics",4,300,1200
101,"Clothing",2,300,600
104,"Beauty",2,500,1000
105,"Electronics",1,500,500
107,"Clothing",4,300,1200
109,"Electronics",4,500,2000
110,"Clothing",3,300,900
111,"Electronics",3,500,1500
112,"Clothing",3,500,1500
115,"Clothing",3,500,1500
117,"Electronics",2,500,1000
118,"Electronics",4,500,2000
124,"Clothing",4,500,2000
128,"Beauty",1,500,500
129,"Beauty",2,300,600
130,"Clothing",1,500,500
131,"Beauty",2,300,600
133,"Electronics",3,300,900
136,"Electronics",2,300,600
137,"Beauty",2,500,1000
139,"Beauty",4,500,2000
142,"Electronics",4,300,1200
144,"Beauty",3,500,1500
147,"Electronics",1,300,300
152,"Electronics",4,500,2000
153,"Electronics",2,500,1000
154,"Electronics",3,300,900
155,"Electronics",4,500,2000
157,"Electronics",4,500,2000
158,"Electronics",2,300,600
161,"Beauty",2,500,1000
164,"Beauty",3,500,1500
165,"Clothing",4,300,1200
166,"Clothing",4,500,2000
168,"Clothing",1,300,300
169,"Beauty",3,500,1500
171,"Clothing",3,300,900
174,"Beauty",1,300,300
179,"Electronics",1,300,300
180,"Clothing",3,300,900
181,"Electronics",4,300,1200
183,"Beauty",3,300,900
193,"Beauty",3,500,1500
196,"Clothing",3,300,900
198,"Beauty",3,300,900
199,"Beauty",3,500,1500
202,"Clothing",4,300,1200
203,"Clothing",2,500,1000
211,"Beauty",3,500,1500
212,"Clothing",3,500,1500
213,"Beauty",3,500,1500
215,"Clothing",3,500,1500
220,"Beauty",1,500,500
221,"Beauty",2,300,600
233,"Beauty",2,300,600
235,"Electronics",2,500,1000
237,"Beauty",2,500,1000
238,"Beauty",1,500,500
239,"Electronics",3,500,1500
240,"Beauty",1,300,300
243,"Electronics",3,300,900
248,"Clothing",3,300,900
252,"Electronics",1,300,300
253,"Clothing",4,500,2000
254,"Electronics",1,500,500
256,"Clothing",2,500,1000
257,"Beauty",4,500,2000
264,"Clothing",3,300,900
265,"Clothing",3,300,900
269,"Clothing",4,500,2000
270,"Electronics",1,300,300
274,"Clothing",2,500,1000
275,"Clothing",2,500,1000
279,"Clothing",1,500,500
280,"Clothing",3,500,1500
281,"Beauty",4,500,2000
283,"Electronics",1,500,500
290,"Beauty",2,300,600
291,"Clothing",2,300,600
292,"Beauty",4,300,1200
295,"Beauty",3,300,900
296,"Clothing",4,300,1200
297,"Electronics",2,500,1000
298,"Beauty",4,300,1200
299,"Electronics",2,500,1000
302,"Beauty",2,300,600
308,"Beauty",4,300,1200
313,"Beauty",3,500,1500
319,"Clothing",1,500,500
320,"Electronics",4,300,1200
322,"Electronics",1,500,500
323,"Beauty",3,300,900
332,"Electronics",4,300,1200
333,"Electronics",4,300,1200
334,"Electronics",3,300,900
337,"Clothing",1,500,500
340,"Clothing",4,300,1200
342,"Clothing",4,500,2000
346,"Clothing",2,500,1000
348,"Electronics",2,300,600
352,"Electronics",2,500,1000
353,"Electronics",1,500,500
355,"Electronics",1,500,500
356,"Electronics",3,500,1500
358,"Beauty",1,300,300
361,"Electronics",4,300,1200
364,"Beauty",1,500,500
365,"Clothing",1,300,300
368,"Clothing",4,300,1200
369,"Electronics",3,500,1500
372,"Beauty",3,500,1500
373,"Beauty",2,300,600
378,"Beauty",1,300,300
380,"Electronics",2,300,600
382,"Clothing",2,500,1000
384,"Clothing",1,500,500
385,"Electronics",3,500,1500
386,"Electronics",2,300,600
392,"Clothing",2,300,600
393,"Beauty",2,500,1000
394,"Clothing",1,500,500
395,"Electronics",2,500,1000
398,"Clothing",2,300,600
401,"Clothing",1,300,300
402,"Clothing",2,300,600
403,"Clothing",2,300,600
404,"Electronics",2,500,1000
405,"Clothing",4,300,1200
407,"Electronics",3,300,900
408,"Beauty",1,500,500
409,"Electronics",3,300,900
412,"Electronics",4,500,2000
416,"Electronics",4,500,2000
417,"Electronics",3,300,900
418,"Electronics",2,500,1000
420,"Clothing",4,500,2000
421,"Clothing",3,500,1500
424,"Beauty",4,300,1200
430,"Electronics",3,300,900
431,"Electronics",4,300,1200
432,"Electronics",2,500,1000
435,"Beauty",3,300,900
437,"Electronics",4,300,1200
440,"Clothing",2,300,600
441,"Beauty",4,300,1200
443,"Clothing",2,300,600
445,"Electronics",1,300,300
447,"Beauty",4,500,2000
452,"Clothing",3,500,1500
453,"Clothing",2,500,1000
457,"Beauty",3,300,900
459,"Clothing",4,300,1200
461,"Beauty",2,500,1000
462,"Electronics",4,300,1200
463,"Beauty",3,500,1500
464,"Electronics",2,300,600
470,"Clothing",2,500,1000
472,"Beauty",3,300,900
474,"Clothing",3,500,1500
476,"Clothing",4,500,2000
479,"Electronics",4,300,1200
480,"Beauty",4,500,2000
481,"Electronics",4,300,1200
482,"Clothing",4,300,1200
484,"Clothing",4,300,1200
487,"Clothing",4,500,2000
488,"Electronics",3,300,900
491,"Electronics",3,300,900
496,"Clothing",2,300,600
503,"Beauty",4,500,2000
506,"Beauty",3,500,1500
507,"Electronics",3,500,1500
508,"Beauty",2,300,600
509,"Electronics",3,300,900
514,"Electronics",1,300,300
515,"Clothing",3,300,900
522,"Beauty",3,500,1500
523,"Electronics",1,300,300
524,"Beauty",4,300,1200
531,"Electronics",1,500,500
533,"Electronics",3,500,1500
534,"Clothing",2,500,1000
537,"Beauty",1,500,500
539,"Beauty",1,500,500
540,"Electronics",3,300,900
541,"Beauty",1,500,500
543,"Beauty",2,300,600
547,"Clothing",4,500,2000
550,"Clothing",3,300,900
551,"Electronics",3,300,900
553,"Clothing",4,300,1200
555,"Beauty",1,300,300
559,"Clothing",4,300,1200
561,"Clothing",4,500,2000
567,"Clothing",3,300,900
568,"Electronics",1,300,300
570,"Clothing",1,500,500
572,"Clothing",4,500,2000
577,"Beauty",4,500,2000
580,"Clothing",3,500,1500
582,"Clothing",3,300,900
587,"Beauty",4,300,1200
589,"Beauty",2,500,1000
590,"Clothing",3,300,900
592,"Beauty",4,500,2000
594,"Electronics",2,300,600
595,"Clothing",4,500,2000
596,"Electronics",1,300,300
597,"Beauty",4,300,1200
600,"Beauty",2,500,1000
602,"Electronics",1,300,300
605,"Electronics",2,500,1000
608,"Electronics",3,500,1500
610,"Beauty",2,300,600
611,"Beauty",3,500,1500
612,"Electronics",1,500,500
614,"Beauty",4,300,1200
621,"Beauty",2,500,1000
624,"Beauty",3,300,900
625,"Clothing",1,300,300
626,"Clothing",4,500,2000
634,"Electronics",4,500,2000
635,"Electronics",3,300,900
636,"Beauty",3,500,1500
637,"Clothing",2,300,600
638,"Electronics",1,500,500
641,"Electronics",1,300,300
647,"Clothing",3,500,1500
648,"Beauty",4,300,1200
649,"Clothing",2,300,600
655,"Clothing",1,500,500
660,"Beauty",2,500,1000
662,"Beauty",2,500,1000
663,"Clothing",4,300,1200
664,"Clothing",4,500,2000
667,"Electronics",1,500,500
669,"Beauty",4,300,1200
673,"Clothing",3,500,1500
674,"Clothing",1,300,300
676,"Electronics",3,500,1500
677,"Beauty",3,500,1500
678,"Electronics",3,300,900
680,"Clothing",3,300,900
682,"Beauty",4,300,1200
683,"Beauty",2,500,1000
684,"Clothing",2,500,1000
687,"Electronics",1,300,300
690,"Clothing",3,300,900
693,"Beauty",3,500,1500
697,"Clothing",1,500,500
698,"Electronics",1,300,300
700,"Electronics",4,500,2000
702,"Clothing",2,300,600
707,"Clothing",1,500,500
708,"Beauty",3,300,900
709,"Electronics",2,500,1000
710,"Electronics",3,500,1500
711,"Electronics",3,500,1500
714,"Clothing",1,500,500
716,"Clothing",4,300,1200
717,"Clothing",1,500,500
720,"Beauty",3,500,1500
721,"Clothing",1,500,500
722,"Beauty",3,300,900
725,"Electronics",1,300,300
726,"Clothing",4,300,1200
727,"Beauty",3,300,900
729,"Clothing",4,300,1200
731,"Clothing",4,500,2000
732,"Electronics",2,500,1000
735,"Clothing",4,500,2000
741,"Clothing",1,300,300
742,"Electronics",4,500,2000
743,"Beauty",4,500,2000
756,"Electronics",4,300,1200
757,"Electronics",4,300,1200
760,"Beauty",1,500,500
761,"Clothing",1,500,500
766,"Electronics",3,300,900
773,"Electronics",4,500,2000
779,"Electronics",2,500,1000
781,"Beauty",1,500,500
782,"Clothing",3,300,900
783,"Clothing",1,300,300
784,"Electronics",1,500,500
788,"Beauty",3,300,900
789,"Clothing",4,500,2000
794,"Beauty",1,300,300
795,"Electronics",1,300,300
800,"Clothing",4,300,1200
805,"Beauty",3,500,1500
