"transaction_id","product_category","quantity","price_per_unit","total_amount"
2,"Clothing",2,500,1000
3,"Electronics",1,30,30
4,"Clothing",1,500,500
5,"Beauty",2,50,100
6,"Beauty",1,30,30
7,"Clothing",2,25,50
9,"Electronics",2,300,600
11,"Clothing",2,50,100
18,"Electronics",2,25,50
19,"Clothing",2,25,50
21,"Beauty",1,500,500
22,"Clothing",2,50,100
24,"Clothing",1,300,300
25,"Beauty",1,50,50
26,"Electronics",2,500,1000
27,"Beauty",2,25,50
28,"Beauty",1,500,500
29,"Electronics",1,30,30
33,"Electronics",2,50,100
40,"Beauty",1,50,50
41,"Clothing",2,25,50
43,"Clothing",1,300,300
44,"Clothing",1,25,25
45,"Electronics",1,30,30
49,"Electronics",2,500,1000
52,"Beauty",1,300,300
53,"Electronics",2,50,100
57,"Beauty",1,30,30
59,"Clothing",1,50,50
62,"Beauty",2,50,100
63,"Electronics",2,25,50
66,"Electronics",1,30,30
68,"Electronics",1,300,300
70,"Clothing",1,300,300
76,"Electronics",2,50,100
77,"Clothing",2,50,100
79,"Beauty",1,300,300
80,"Clothing",2,30,60
81,"Electronics",1,50,50
83,"Electronics",2,50,100
87,"Beauty",2,50,100
88,"Clothing",1,500,500
90,"Electronics",1,30,30
91,"Electronics",1,500,500
94,"Beauty",2,500,1000
95,"Clothing",2,30,60
96,"Clothing",2,300,600
97,"Beauty",2,500,1000
98,"Beauty",2,50,100
100,"Electronics",1,30,30
101,"Clothing",2,300,600
102,"Beauty",2,25,50
103,"Clothing",1,25,25
104,"Beauty",2,500,1000
105,"Electronics",1,500,500
106,"Clothing",1,50,50
113,"Electronics",2,25,50
116,"Clothing",1,30,30
117,"Electronics",2,500,1000
120,"Beauty",1,50,50
123,"Electronics",2,30,60
125,"Clothing",2,50,100
127,"Clothing",2,25,50
128,"Beauty",1,500,500
129,"Beauty",2,300,600
130,"Clothing",1,500,500
131,"Beauty",2,300,600
134,"Electronics",1,50,50
135,"Clothing",2,25,50
136,"Electronics",2,300,600
137,"Beauty",2,500,1000
140,"Electronics",1,30,30
141,"Electronics",1,50,50
143,"Clothing",1,50,50
147,"Electronics",1,300,300
148,"Clothing",2,30,60
151,"Clothing",1,50,50
153,"Electronics",2,500,1000
158,"Electronics",2,300,600
160,"Clothing",2,50,100
161,"Beauty",2,500,1000
162,"Clothing",2,30,60
168,"Clothing",1,300,300
170,"Clothing",2,25,50
172,"Beauty",2,25,50
174,"Beauty",1,300,300
176,"Beauty",2,50,100
177,"Beauty",2,50,100
178,"Clothing",2,30,60
179,"Electronics",1,300,300
185,"Clothing",1,25,25
187,"Clothing",2,50,100
189,"Beauty",1,50,50
191,"Beauty",1,25,25
192,"Beauty",2,50,100
195,"Clothing",1,30,30
201,"Electronics",1,25,25
203,"Clothing",2,500,1000
204,"Beauty",1,25,25
205,"Clothing",1,25,25
206,"Clothing",1,25,25
207,"Beauty",2,25,50
214,"Beauty",2,30,60
216,"Electronics",2,50,100
220,"Beauty",1,500,500
221,"Beauty",2,300,600
223,"Clothing",1,25,25
224,"Clothing",1,50,50
226,"Clothing",1,50,50
227,"Electronics",2,50,100
228,"Electronics",2,30,60
230,"Beauty",1,25,25
232,"Beauty",1,25,25
233,"Beauty",2,300,600
234,"Electronics",2,25,50
235,"Electronics",2,500,1000
236,"Clothing",1,25,25
237,"Beauty",2,500,1000
238,"Beauty",1,500,500
240,"Beauty",1,300,300
242,"Clothing",1,25,25
244,"Beauty",2,50,100
246,"Electronics",2,25,50
247,"Electronics",2,30,60
249,"Clothing",1,50,50
250,"Electronics",1,50,50
252,"Electronics",1,300,300
254,"Electronics",1,500,500
255,"Clothing",1,30,30
256,"Clothing",2,500,1000
258,"Clothing",1,50,50
260,"Beauty",2,30,60
261,"Clothing",2,25,50
263,"Beauty",2,30,60
266,"Electronics",2,30,60
268,"Electronics",1,30,30
270,"Electronics",1,300,300
272,"Electronics",2,50,100
273,"Beauty",1,50,50
274,"Clothing",2,500,1000
275,"Clothing",2,500,1000
279,"Clothing",1,500,500
283,"Electronics",1,500,500
285,"Electronics",1,25,25
286,"Electronics",2,25,50
289,"Electronics",2,30,60
290,"Beauty",2,300,600
291,"Clothing",2,300,600
297,"Electronics",2,500,1000
299,"Electronics",2,500,1000
302,"Beauty",2,300,600
304,"Electronics",2,30,60
305,"Beauty",1,30,30
306,"Electronics",1,50,50
307,"Electronics",2,25,50
309,"Beauty",1,25,25
310,"Beauty",1,25,25
315,"Clothing",2,30,60
316,"Clothing",2,25,50
318,"Clothing",1,25,25
319,"Clothing",1,500,500
321,"Electronics",2,25,50
322,"Electronics",1,500,500
325,"Electronics",2,25,50
328,"Beauty",2,50,100
337,"Clothing",1,500,500
338,"Beauty",2,50,100
339,"Electronics",2,25,50
343,"Electronics",2,25,50
344,"Beauty",1,30,30
345,"Electronics",1,30,30
346,"Clothing",2,500,1000
347,"Electronics",1,25,25
348,"Electronics",2,300,600
349,"Beauty",1,50,50
352,"Electronics",2,500,1000
353,"Electronics",1,500,500
355,"Electronics",1,500,500
358,"Beauty",1,300,300
359,"Clothing",1,50,50
